,listed_in(type),rest_type,total address,book_table,online_order,rate,approx_cost(for two people)
13167,Drinks & nightlife,"Casual Dining, Bar","4th Floor, Building 9, Halcyon Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,Yes,4.6/5,"1,700"
13168,Drinks & nightlife,"Pub, Casual Dining","Near LIC Building, Off MG Road, St. Marks Road, Bangalore, St. Marks Road, Church Street",No,No,4.3/5,"1,300"
13169,Drinks & nightlife,"Pub, Microbrewery","20/2, Vittal Mallya Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,Yes,4.3/5,"1,700"
13171,Drinks & nightlife,"Casual Dining, Irani Cafee","25/4, Opposite Harley Davidson Showroom, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,Yes,4.4/5,"1,300"
13172,Drinks & nightlife,"Casual Dining, Bar","203, 2nd Floor, UB City, 24 Vittal Mallya Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,No,4.4/5,"1,200"
13173,Drinks & nightlife,"Microbrewery, Casual Dining","The Chancery Pavilion, 135, Residency Road, Bangalore, Residency Road, Church Street",Yes,No,4.3/5,"2,000"
13174,Drinks & nightlife,Lounge,"204, UB City, Vittal Mallya Road, Near Lavelle Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",No,No,4.3/5,"1,500"
13175,Drinks & nightlife,"Casual Dining, Bar","1, Express Building, Queens Road, Infantry Road, Bangalore, Infantry Road, Church Street",Yes,No,4.3/5,"2,500"
13176,Drinks & nightlife,"Bar, Casual Dining","3rd Floor, 15, Madras Bank Road/ Museum Road, Above NEXA Showroom, Bangalore, St. Marks Road, Church Street",Yes,Yes,4.4/5,"1,900"
13177,Drinks & nightlife,"Bar, Casual Dining","120, 4th Floor, Lancer Building, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,No,4.3/5,"1,300"
13178,Drinks & nightlife,Pub,"5th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,No,4.2/5,"1,500"
13179,Drinks & nightlife,"Casual Dining, Bar","Hotel Southern Star, 40/2, Roof Top, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,No,4.4/5,"1,000"
13180,Drinks & nightlife,"Bar, Casual Dining","2nd Floor, 17/22, Vasavi Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,No,4.3/5,"1,200"
13181,Drinks & nightlife,"Casual Dining, Bar","9, 4th Floor, Halcyon Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,Yes,4.2/5,"1,400"
13182,Drinks & nightlife,Pub,"Skywalk, 4th Floor, Near Body Craft, Assaye Road, Ulsoor, Bangalore, Ulsoor, Church Street",Yes,No,4.2/5,"1,300"
13183,Drinks & nightlife,"Pub, Casual Dining","2nd Floor, 1 MG Mall, Trinity Circle, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.2/5,"1,000"
13184,Drinks & nightlife,Lounge,"The Ritz-Carlton, 99, Residency Road, Bangalore, Residency Road, Church Street",Yes,No,4.3/5,"3,000"
13185,Drinks & nightlife,"Bar, Casual Dining","148 /149, St Thomas Building, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,Yes,4.3/5,"1,600"
13186,Drinks & nightlife,"Casual Dining, Pub","2nd &3rd Floor, 1 MG Mall, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.2/5,"1,500"
13187,Drinks & nightlife,"Pub, Casual Dining","34, Resthouse Road, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,No,4.1/5,"1,100"
13189,Drinks & nightlife,Pub,"48, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore, Brigade Road, Church Street",No,No,4.0/5,"1,100"
13190,Drinks & nightlife,Bar,"30, Near Syndicate Bank, Residency Road, Bangalore, Residency Road, Church Street",No,No,3.9/5,"1,000"
13191,Drinks & nightlife,Club,"Vivanta By Taj, 41/3, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.1/5,"2,800"
13192,Drinks & nightlife,Pub,"1st & 2nd Floor, 17/4, Residency Road, Bangalore, Residency Road, Church Street",Yes,No,4.1/5,"1,000"
13193,Drinks & nightlife,Bar,"Mezzanine Level, The Pride Hotel, 93, Richmond Road, Bangalore, Richmond Road, Church Street",No,No,4.2/5,"2,000"
13194,Drinks & nightlife,Pub,"36, Vittal Mallya Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",No,No,4.1/5,"1,200"
13195,Drinks & nightlife,"Bar, Quick Bites","3, Rest House Road, Off Brigade Road, Brigade Road, Bangalore, Brigade Road, Church Street",No,Yes,4.0/5,"2,000"
13196,Drinks & nightlife,Lounge,"The Park Bangalore, 14/7, MG Road, Bangalore, MG Road, Church Street",No,No,3.8/5,"3,000"
13197,Drinks & nightlife,Lounge,"185, Dena Complex, 2nd Floor, Brigade Road, Bangalore, Brigade Road, Church Street",No,No,2.0/5,"1,500"
13198,Drinks & nightlife,Bar,"17/21, Vasavi Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",No,No,3.9/5,600
13199,Drinks & nightlife,"Bar, Casual Dining","5th Floor, Confident Hotel, Hosur Main Road, Langford Town, Bangalore, Langford Town, Church Street",No,No,3.9/5,"1,000"
13200,Drinks & nightlife,Pub,"Residency Plaza, 41 & 42, Residency Road, Bangalore, Residency Road, Church Street",No,No,3.7/5,"1,000"
13201,Drinks & nightlife,Lounge,"The Ritz-Carlton, 99, Residency Road, Bangalore, Residency Road, Church Street",No,No,4.0/5,"2,000"
13203,Drinks & nightlife,Lounge,"Lemon Tree Premier, 2/1, St. Johns Road, Ulsoor, Bangalore, Ulsoor, Church Street",No,No,4.0/5,"1,500"
13204,Drinks & nightlife,Lounge,"JW Marriott Bengaluru, 24/1, Vittal Mallya Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",No,No,3.9/5,"2,500"
13205,Drinks & nightlife,"Lounge, Bar","The Park Bangalore, 14/7, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.0/5,"3,000"
13208,Drinks & nightlife,Bar,"18/1, Cambridge Road, Ulsoor, Bangalore, Ulsoor, Church Street",Yes,No,3.8/5,"1,400"
13210,Drinks & nightlife,Lounge,"Hyatt Centric MG Road Bangalore, 1/1, Swami Vivekananda Road, Beside MG Road, Ulsoor, Bangalore, Ulsoor, Church Street",Yes,No,4.0/5,"2,400"
13212,Drinks & nightlife,"Casual Dining, Bar","103, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.2/5,"1,500"
13218,Drinks & nightlife,"Pub, Cafe","18, Ali Askar Road, Cunningham Road, Bangalore, Cunningham Road, Church Street",Yes,Yes,4.7/5,"1,300"
13219,Drinks & nightlife,Lounge,"Citrus Hotels, 34, Cunningham Road, Bangalore, Cunningham Road, Church Street",Yes,No,4.0/5,"1,300"
13220,Drinks & nightlife,"Casual Dining, Pub","13, Rhenius Street, Opposite Hockey Stadium, Shanti Nagar, Bangalore, Shanti Nagar, Church Street",No,No,4.2/5,"1,200"
13221,Drinks & nightlife,Lounge,"Taj West End, Race Course Road, Bangalore, Race Course Road, Church Street",Yes,No,4.0/5,"2,500"
13222,Drinks & nightlife,Bar,"90, K H Road, Double Road, Office, Opposite KSRTC, Shanti Nagar, Bangalore, Shanti Nagar, Church Street",Yes,No,3.8/5,"1,200"
13226,Pubs and bars,"Bar, Casual Dining","65, Residency Road, Bangalore, Residency Road, Church Street",Yes,No,4.4/5,"1,200"
13227,Pubs and bars,"Casual Dining, Bar","14, 2nd Floor, Church Street, Bangalore, Church Street, Church Street",Yes,Yes,4.4/5,"1,200"
13228,Pubs and bars,"Bar, Casual Dining","1/A, Church Street, Bangalore, Church Street, Church Street",No,No,4.3/5,"1,100"
13229,Pubs and bars,Pub,"29, Church Street, Bangalore, Church Street, Church Street",No,No,4.2/5,"1,100"
13230,Pubs and bars,"Casual Dining, Bar","86, Spencers Building, Church Street, Bangalore, Church Street, Church Street",Yes,No,3.9/5,"1,200"
13231,Pubs and bars,"Casual Dining, Bar","22, Amoeba Complex, Church Street, Bangalore, Church Street, Church Street",Yes,Yes,4.0/5,"1,000"
13232,Pubs and bars,Pub,"Prestige RR 55/1 &55/9 2nd Floor Church Street, Bangalore, Church Street, Church Street",Yes,No,3.9/5,"1,500"
13234,Pubs and bars,"Pub, Microbrewery","8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,No,4.5/5,"2,000"
13235,Pubs and bars,"Casual Dining, Bar","40, Opposite LIC Building, Off MG Road, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,No,4.5/5,"2,500"
13236,Pubs and bars,"Casual Dining, Bar","16/3, Commissariat Road, Brigade Road, Bangalore, Brigade Road, Church Street",No,No,4.5/5,"1,500"
13237,Pubs and bars,"Casual Dining, Bar","4th Floor, Building 9, Halcyon Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,Yes,4.6/5,"1,700"
13238,Pubs and bars,"Pub, Casual Dining","Near LIC Building, Off MG Road, St. Marks Road, Bangalore, St. Marks Road, Church Street",No,No,4.3/5,"1,300"
13239,Pubs and bars,"Pub, Microbrewery","20/2, Vittal Mallya Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,Yes,4.3/5,"1,700"
13241,Pubs and bars,"Casual Dining, Bar","203, 2nd Floor, UB City, 24 Vittal Mallya Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,No,4.4/5,"1,200"
13242,Pubs and bars,"Casual Dining, Bar","50, Opposite Loom, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,No,4.1/5,"2,100"
13243,Pubs and bars,"Casual Dining, Bar","1, Express Building, Queens Road, Infantry Road, Bangalore, Infantry Road, Church Street",Yes,No,4.3/5,"2,500"
13244,Pubs and bars,"Bar, Casual Dining","3rd Floor, 15, Madras Bank Road/ Museum Road, Above NEXA Showroom, Bangalore, St. Marks Road, Church Street",Yes,Yes,4.4/5,"1,900"
13245,Pubs and bars,"Bar, Casual Dining","120, 4th Floor, Lancer Building, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,No,4.3/5,"1,300"
13246,Pubs and bars,Pub,"5th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,No,4.2/5,"1,500"
13247,Pubs and bars,"Casual Dining, Bar","Hotel Southern Star, 40/2, Roof Top, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,No,4.4/5,"1,000"
13248,Pubs and bars,"Bar, Casual Dining","2nd Floor, 17/22, Vasavi Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,No,4.3/5,"1,200"
13249,Pubs and bars,"Casual Dining, Bar","40/2, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,Yes,4.3/5,"1,300"
13250,Pubs and bars,"Casual Dining, Bar","9, 4th Floor, Halcyon Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,Yes,4.2/5,"1,400"
13251,Pubs and bars,Pub,"Skywalk, 4th Floor, Near Body Craft, Assaye Road, Ulsoor, Bangalore, Ulsoor, Church Street",Yes,No,4.2/5,"1,300"
13252,Pubs and bars,"Pub, Casual Dining","2nd Floor, 1 MG Mall, Trinity Circle, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.2/5,"1,000"
13253,Pubs and bars,"Casual Dining, Bar","40/2, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,No,4.2/5,"1,000"
13254,Pubs and bars,"Casual Dining, Bar","1st Floor, 8/6 Kensington Point, Ulsoor Road, Ulsoor, Bangalore, Ulsoor, Church Street",Yes,Yes,4.2/5,"1,000"
13255,Pubs and bars,"Bar, Casual Dining","148 /149, St Thomas Building, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,Yes,4.3/5,"1,600"
13256,Pubs and bars,"Casual Dining, Pub","20, Castle Street, Ashok Nagar, Brigade Road, Bangalore, Brigade Road, Church Street",No,No,4.2/5,"1,200"
13257,Pubs and bars,"Casual Dining, Bar","Ramada Hotel, 11, Park Road, Shivajinagar, Bangalore, Shivajinagar, Church Street",Yes,Yes,4.0/5,"1,300"
13258,Pubs and bars,"Casual Dining, Pub","2nd &3rd Floor, 1 MG Mall, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.2/5,"1,500"
13259,Pubs and bars,"Pub, Casual Dining","34, Resthouse Road, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,No,4.1/5,"1,100"
13260,Pubs and bars,"Casual Dining, Bar","The Pride Hotel, 93, Richmond Road, Bangalore, Richmond Road, Church Street",No,Yes,4.0/5,"1,700"
13261,Pubs and bars,"Bar, Casual Dining","Royal Orchid Central, Level 10,Manipal Centre, Cubbon Road, Off MG Road,Bangalore, MG Road, Church Street",Yes,Yes,4.3/5,"2,000"
13263,Pubs and bars,Pub,"48, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore, Brigade Road, Church Street",No,No,4.0/5,"1,100"
13264,Pubs and bars,Bar,"30, Near Syndicate Bank, Residency Road, Bangalore, Residency Road, Church Street",No,No,3.9/5,"1,000"
13265,Pubs and bars,Pub,"1st & 2nd Floor, 17/4, Residency Road, Bangalore, Residency Road, Church Street",Yes,No,4.1/5,"1,000"
13266,Pubs and bars,"Casual Dining, Bar","25/5, Near Lamborghini Showroom, Lavelle Road, Bangalore, Lavelle Road, Church Street",No,Yes,4.2/5,"1,000"
13267,Pubs and bars,"Casual Dining, Bar","8/6, Kensington Point, Ulsoor Road, Ulsoor, Bangalore, Ulsoor, Church Street",Yes,Yes,4.1/5,"1,200"
13268,Pubs and bars,"Fine Dining, Bar","The Ritz-Carlton, 99, Residency Road, Bangalore, Residency Road, Church Street",Yes,No,4.1/5,"4,000"
13269,Pubs and bars,Bar,"Mezzanine Level, The Pride Hotel, 93, Richmond Road, Bangalore, Richmond Road, Church Street",No,No,4.2/5,"2,000"
13270,Pubs and bars,"Fine Dining, Bar","The Ritz-Carlton, 99, Residency Road, Bangalore, Residency Road, Church Street",Yes,No,4.4/5,"3,500"
13271,Pubs and bars,Pub,"36, Vittal Mallya Road, Lavelle Road, Bangalore, Lavelle Road, Church Street",No,No,4.1/5,"1,200"
13272,Pubs and bars,"Bar, Quick Bites","3, Rest House Road, Off Brigade Road, Brigade Road, Bangalore, Brigade Road, Church Street",No,Yes,4.0/5,"2,000"
13273,Pubs and bars,"Casual Dining, Bar","Level 5, 1 MG Road Mall, Trinity Circle, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.1/5,"1,800"
13274,Pubs and bars,"Casual Dining, Bar","The Chancery Hotel, Lavelle Road, Bangalore, Lavelle Road, Church Street",Yes,No,4.4/5,"1,800"
13275,Pubs and bars,Bar,"17/21, Vasavi Complex, St. Marks Road, Bangalore, St. Marks Road, Church Street",No,No,3.9/5,600
13276,Pubs and bars,"Bar, Casual Dining","5th Floor, Confident Hotel, Hosur Main Road, Langford Town, Bangalore, Langford Town, Church Street",No,No,3.9/5,"1,000"
13277,Pubs and bars,"Casual Dining, Bar","#25/5, Lavelle Road, Opposite Smoke House Deli, Lavelle Road, Bangalore, Lavelle Road, Church Street",No,No,3.5/5,"1,800"
13278,Pubs and bars,"Casual Dining, Bar","The Chancery Hotel, Lavelle Road, Bangalore, Lavelle Road, Church Street",No,No,3.1/5,"1,200"
13279,Pubs and bars,Pub,"Residency Plaza, 41 & 42, Residency Road, Bangalore, Residency Road, Church Street",No,No,3.7/5,"1,000"
13280,Pubs and bars,"Lounge, Bar","The Park Bangalore, 14/7, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.0/5,"3,000"
13281,Pubs and bars,"Casual Dining, Bar","72, St. Marks Road, Bangalore, St. Marks Road, Church Street",Yes,No,3.6/5,800
13285,Pubs and bars,Bar,"18/1, Cambridge Road, Ulsoor, Bangalore, Ulsoor, Church Street",Yes,No,3.8/5,"1,400"
13288,Pubs and bars,"Casual Dining, Bar","103, MG Road, Bangalore, MG Road, Church Street",Yes,No,4.2/5,"1,500"
13290,Pubs and bars,"Casual Dining, Bar","120, 4th Floor, Lancer Building, Brigade Road, Bangalore, Brigade Road, Church Street",Yes,Yes,3.9/5,"1,300"
13298,Pubs and bars,"Pub, Cafe","18, Ali Askar Road, Cunningham Road, Bangalore, Cunningham Road, Church Street",Yes,Yes,4.7/5,"1,300"
13299,Pubs and bars,Bar,"90, K H Road, Double Road, Office, Opposite KSRTC, Shanti Nagar, Bangalore, Shanti Nagar, Church Street",Yes,No,3.8/5,"1,200"
13302,Buffet,Casual Dining,"Radha Regent Bengaluru, 110 C, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,3.7/5,"1,200"
13303,Buffet,Casual Dining,"163, 2nd Floor, 1st Cross Road, Neeladri Nagar, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,4.7/5,"1,500"
13304,Buffet,"Pub, Casual Dining","#154, Neeladri Main Road, Electronic City Phase 1, Above Unlimited Store, Doddathoguru, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,4.4/5,"1,200"
13305,Buffet,Casual Dining,"94, Neeladri Nagar, 14th Cross Neeladri Main Road, Doddathogur, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,4.3/5,"1,600"
13306,Buffet,"Casual Dining, Cafe","Sy No: 54/2 ( Old Sy no 54 ), Above BATA showroom Bommasandra Village, Attible Hobbli, Anekal Taluk, Bengaluru, Karnataka 560099, Electronic City, Electronic City",Yes,Yes,4.5/5,600
13307,Buffet,Casual Dining,"Sai Vishram Business Hotel, 144 - C/1, Kirloskar Road, Bommasandra Industrial Estate, Hebbagodi, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.2/5,"1,100"
13308,Buffet,Fine Dining,"The Oterra, 43, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,4.1/5,"3,000"
13309,Buffet,Fine Dining,"Lemon Tree Hotel, 55 A, Hosur Main Road, Phase I, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,3.9/5,"2,200"
13310,Buffet,Casual Dining,"Keys Hotel, Opposite Live 100 Hospital, Hosur Road, Electronic City, Bangalore, Electronic City, Electronic City",No,No,3.8/5,"1,200"
13311,Buffet,Casual Dining,"Zone by The Park, 26/A, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,4.0/5,"1,400"
13313,Buffet,Casual Dining,"Hotel Goyal Residency, 17-C Keonics, Opposite Symbiosis College, 1st Phase, Electronic City, Bangalore, Electronic City, Electronic City",Yes,Yes,3.9/5,800
13314,Buffet,Fine Dining,"Svenska Design Hotel, 56 D, Wipro Gate No 5, Electronic City 1, Electronic City, Bangalore, Electronic City, Electronic City",Yes,Yes,3.7/5,"2,000"
13315,Buffet,Casual Dining,"Hotel Ekaa, 52, Kudlu Gate, Hosur Main Road, Near Narasimha Theatre, Bommanahalli, Bangalore, Electronic City, Electronic City",Yes,Yes,3.2/5,900
13317,Buffet,Casual Dining,"Golden Tulip Hotel, Plot 56/A, Opp-Wipro Gate 5, Electronic CIty, Phase 1, Bangalore, Electronic City, Electronic City",Yes,No,2.5/5,850
13318,Buffet,Casual Dining,"Gardeenia Comfortes Suites, 52/56 Bommansandra Industrial Area, Hosur Main Road, Electronic City, Bangalore, Electronic City, Electronic City",No,No,3.5/5,800
13320,Buffet,"Casual Dining, Bar","The Sahar Pavilion, 2224/2225, Kudlu Gate, Singasandra, Hosur Road, Electronic City, Bangalore, Electronic City, Electronic City",Yes,No,3.7/5,"1,500"
13324,Cafes,"Casual Dining, Cafe","Sy No: 54/2 ( Old Sy no 54 ), Above BATA showroom Bommasandra Village, Attible Hobbli, Anekal Taluk, Bengaluru, Karnataka 560099, Electronic City, Electronic City",Yes,Yes,4.5/5,600
13325,Cafes,Cafe,"7, 2nd Floor, Ganga Enclave, Neeladri Road, Doddathoguru Village, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.1/5,700
13326,Cafes,Quick Bites,"2,SJR Equinox, Bangalore, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.9/5,650
13327,Cafes,Cafe,"1461, Near 14th Cross, Above MedPlus, Ananth Nagar, Phase 2, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.2/5,500
13329,Cafes,Cafe,"Site 20, 3rd Floor, Neeladri Road, Near Wipro Gate 16, Electronic City Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,400
13330,Cafes,Cafe,"5th Floor, Uniworld Commercial Complex, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.1/5,600
13332,Cafes,"Bakery, Quick Bites","59/4, Velankani Drive, Doodathogur Begur Hobli, Opposite BHEL Gate 3, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,600
13333,Cafes,Cafe,"49-51, Concorde Silicon Valley, Next to Wipro, Doddathogur, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.0/5,700
13335,Cafes,"Cafe, Bakery","K137, Neeladri Road, Karuna Nagar, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.7/5,400
13337,Cafes,"Cafe, Dessert Parlor","55, Green Garden Layout, Singasandra , Manipal County Road, Electronic City, Bangalore, Electronic City, Electronic City",No,No,4.0/5,400
13338,Cafes,Cafe,"227, 2nd Cross, Axis Bank Building, Neeladri Road, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,No,3.9/5,700
13349,Delivery,Beverage Shop,"Opposite Velankani Gate number 2, Doddathoguru, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.0/5,200
13352,Delivery,Delivery,"177/90, Near Velankani Tech Park, Velankani Road, Dodda Thogur, Phase 1, Electronic City, Bangalore, South Bangalore, Electronic City",No,Yes,3.0/5,450
13357,Delivery,Quick Bites,"1st Floor, Skywards Sun Park, Neeladri Road, Karuna Nagar, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,NEW,400
13359,Delivery,"Beverage Shop, Quick Bites","Velankani Drive, Doddathogur Main Road, Electronics City Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.7/5,200
13361,Delivery,Quick Bites,"Near BHEL, Velankani Road, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.9/5,250
13363,Delivery,Quick Bites,"1, SJR Equinox Retail, Velankanni Drive, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.4/5,300
13364,Delivery,Quick Bites,"G.S. Palya Road, Near Indian Bank ATM ,Konappana Agrahara, Phase 2, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,400
13367,Delivery,"Takeaway, Delivery","47/73, Doddathogur Road, Phase-1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.2/5,500
13368,Delivery,Quick Bites,"Opposite Wipro Gate 12, Electronic City, Bangalore, Electronic City, Electronic City",Yes,Yes,4.0/5,500
13369,Delivery,"Takeaway, Delivery","Doddathoguru Road, Konappana Agrahara, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.2/5,500
13370,Delivery,Casual Dining,"Panchayati Building, Opposite BHEL, Velankani Road, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.6/5,500
13371,Delivery,Quick Bites,"Shop 6, Krishnappa Gowda Building, Doddathogur, Opp: Wipro Gate-12, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.1/5,200
13372,Delivery,Casual Dining,"Unit 1, Ajmera Avenue, Neeladri, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.1/5,700
13376,Delivery,Quick Bites,"12, Ajmera Avenue, Neeladri Road, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,600
13378,Delivery,Beverage Shop,"Opposite Velankani Gate number 2, Doddathoguru, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.0/5,200
13381,Delivery,"Casual Dining, Cafe","Sy No: 54/2 ( Old Sy no 54 ), Above BATA showroom Bommasandra Village, Attible Hobbli, Anekal Taluk, Bengaluru, Karnataka 560099, Electronic City, Electronic City",Yes,Yes,4.5/5,600
13382,Delivery,Delivery,"Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.0/5,300
13383,Delivery,Quick Bites,"47/14, Velankini Gate Bus Stop, 1st Phase, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.7/5,500
13385,Delivery,Casual Dining,"47/11, Doddathogur Village, Opposite Velankani Tech Park Gate 4, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.0/5,800
13386,Delivery,Casual Dining,"2309, Shanthipura Road, Phase 2, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.6/5,800
13387,Delivery,Quick Bites,"Keertha Apartment, Near XIMS College, Phase 2, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.0/5,300
13388,Delivery,Quick Bites,"Near Infosys Gate 6, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.6/5,250
13389,Delivery,Delivery,"306, 1A Cross, Opposite SKF Bearing Factory, Bommasandra, Hosur Road, Bangalore, Hosur Road, Electronic City",No,Yes,4.0/5,500
13390,Delivery,Cafe,"7, 2nd Floor, Ganga Enclave, Neeladri Road, Doddathoguru Village, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.1/5,700
13391,Delivery,Quick Bites,"34/2, Keerthana Apartment, Behind XIME College, Phase 2, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.7/5,300
13392,Delivery,Delivery,"2nd Cross Road, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.1/5,650
13395,Delivery,Quick Bites,"Chandra Reddy Building, Near Tech Mahindra, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.0/5,400
13396,Delivery,Quick Bites,"56, Survey No. 66, Opposite Wipro Gate 5, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.9/5,450
13397,Delivery,Casual Dining,"BMTC Bus Depot, 1st Floor, Hosur Main Road, Electronic City, Bangalore, Electronic City, Electronic City",Yes,Yes,3.8/5,500
13399,Delivery,Quick Bites,"71/1A, Near Wipro Gate 5, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.2/5,400
13404,Delivery,Casual Dining,"Opposite Venlankani Doddathogur Village, Gate Number 2, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,600
13405,Delivery,Quick Bites,"Amruthaya Nilaya, Behind Agarwal Bhawan, Ananth Nagar, Phase 2, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,200
13406,Delivery,Quick Bites,"Opposite Velankanni Gate, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.6/5,400
13408,Delivery,Food Court,"4, By the Way Food Court, Opposite Velankanni Tech Park, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.4/5,500
13409,Delivery,Quick Bites,"127,Kiadb Layout, Near Tech Mahindra, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,400
13412,Delivery,Quick Bites,"Ramakrishna Reddy Building, Celebrity Paradise Road, Dodda Thogur, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,4.0/5,400
13413,Delivery,Quick Bites,"4, Near TCS, 2nd Phase, Fruit Market Road, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.7/5,400
13414,Delivery,Quick Bites,"55, Opposite SKF, Bommasandra Village, Attibele Hobli, Anekal Taluk, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.2/5,750
13415,Delivery,Quick Bites,"3, Ajmera Avenue, Neeladri Road, Phase 1, Electronic City, Bangalore, Electronic City, Electronic City",No,Yes,3.8/5,500
